Variable;Correlation
Valeur_vehicule;0,660883337
Ind_vehicule_sport;0,580950243
Ind_util_affaires;0,37549274
Ind_vehicule_loue;0,332615571
Emploi_assurePRO;0,146999036
Annee;0,128572458
Statut_maritalD;0,118893595
Ind_util_travail;0,114183856
Sexe_assureF;0,10793792
Emploi_assureAUT;0,101875306
Statut_maritalA;0,09632571
RegionGA;0,095671691
Emploi_assureMAN;0,091407738
RegionSA;0,082666802
Couleur_vehiculeR;0,080271171
Emploi_assureASS;0,070304205
Nbre_enfants;0,055417079
Nbre_infract;0,042084638
RegionQC;0,035622404
Couleur_vehiculeN;0,025896492
Ind_occas;0,022208599
Couleur_vehiculeG;0,01852483
Nbre_sinistres;0,018084125
RegionMA;0,015793496
RegionOU;0,015336319
Temps_sn_sin;0,006513138
Ind_fumeur;-0,013304551
km_annuel;-0,024056452
RegionES;-0,051658785
Emploi_assureETU;-0,055350126
Emploi_assureMED;-0,055848156
Emploi_assureSNS;-0,057073554
Emploi_assureGOU;-0,061934651
Statut_maritalF;-0,062037327
Couleur_vehiculeB;-0,0634919
Couleur_vehiculeA;-0,088527746
Statut_maritalM;-0,10410821
Sexe_assureH;-0,10793792
Age_police;-0,11103399
Exp_cond;-0,115609734
Age_assure;-0,11651502
Emploi_assureRTR;-0,145702779
RegionML;-0,177300839
Score_credit;-0,238449296
Age_vehicule;-0,297789314
